Date,Query,Page,Country,Device,Search Type,Clicks,Impressions,CTR,Position
2024-03-01,seo dashboard tutorial,https://example.com/blog/seo-dashboard,United States,Desktop,Web,12,245,0.049,3.2
2024-03-01,python analytics platform,https://example.com/solutions/python,United States,Mobile,Web,4,189,0.021,4.8
2024-03-01,data visualization tools,https://example.com/products/visualization,United States,Desktop,Web,8,156,0.051,2.9
2024-03-01,streamlit dashboard,https://example.com/blog/streamlit,United States,Mobile,Web,3,142,0.021,5.5
2024-03-01,business intelligence software,https://example.com/solutions/bi,United States,Desktop,Web,15,287,0.052,2.1
2024-03-02,seo dashboard tutorial,https://example.com/blog/seo-dashboard,United States,Desktop,Web,14,251,0.056,3.1
2024-03-02,python analytics platform,https://example.com/solutions/python,United States,Mobile,Web,5,198,0.025,4.5
2024-03-02,data visualization tools,https://example.com/products/visualization,United States,Desktop,Web,9,162,0.056,2.8
2024-03-02,google analytics api,https://example.com/docs/ga4-api,United States,Desktop,Web,6,145,0.041,3.8
2024-03-02,search console reporting,https://example.com/blog/gsc,United States,Mobile,Web,2,118,0.017,6.2
2024-03-03,seo metrics tracking,https://example.com/blog/seo-metrics,United States,Desktop,Web,10,234,0.043,3.4
2024-03-03,python data pipeline,https://example.com/solutions/python,United States,Mobile,Web,4,176,0.023,4.9
2024-03-03,visualization dashboard,https://example.com/products/visualization,United States,Desktop,Web,11,198,0.056,2.7
2024-03-03,streamlit app tutorial,https://example.com/blog/streamlit,United States,Desktop,Web,7,165,0.042,3.6
2024-03-03,business metrics dashboard,https://example.com/solutions/bi,United States,Mobile,Web,5,201,0.025,4.4
